AngleToTrackAxis;CurrentLapTime;Damage;DistanceFromStartLine;DistanceRaced;Speed;ZSpeed;Z;TrackEdgeSensors0;TrackEdgeSensor-90;TrackEdgeSensor+90;TarckEdgeSensor-50;TrackEdgeSensor+30;TrackPosition;action
0.0104302;0.238;0.0;5759.11;0.00732422;0.109228;-1.88592E-4;0.345255;200.0;7.33423;3.6665;14.8143;13.8832;-0.333407;0
0.0105704;0.26;0.0;5759.11;0.00830078;0.150199;-2.05274E-4;0.345254;200.0;7.33398;3.6665;14.8178;13.8763;-0.333407;0
0.0107811;0.28;0.0;5759.11;0.00976563;0.508582;4.36014E-4;0.345254;200.0;7.33423;3.6665;14.8229;13.8652;-0.333407;0
0.0109046;0.3;0.0;5759.11;0.0126953;0.78516;0.00215233;0.34526;200.0;7.33435;3.66626;14.8268;13.8574;-0.333452;-1
0.0107563;0.32;0.0;5759.12;0.0180664;1.05688;0.0039973;0.345276;200.0;7.33459;3.66614;14.8233;13.8654;-0.333474;-1
0.010712;0.34;0.0;5759.12;0.0249023;1.13458;0.00493095;0.3453;200.0;7.33484;3.66589;14.8226;13.8663;-0.333518;-1
0.0107425;0.36;0.0;5759.13;0.0307617;1.21685;0.0040178;0.345323;200.0;7.33496;3.66565;14.824;13.8641;-0.333563;-1
0.0107148;0.38;0.0;5759.14;0.0375977;1.12711;0.00184538;0.345336;200.0;7.33521;3.66541;14.8234;13.8645;-0.333585;-1
0.0107315;0.4;0.0;5759.14;0.0439453;1.21761;-1.64194E-4;0.345338;200.0;7.33545;3.66528;14.8242;13.8636;-0.333629;-1
0.0107034;0.42;0.0;5759.15;0.0507813;1.12392;-0.00168331;0.34533;200.0;7.33569;3.66492;14.8239;13.8633;-0.333674;-1
0.0107201;0.44;0.0;5759.16;0.0566406;1.21643;-0.00247125;0.345315;200.0;7.33582;3.66492;14.8251;13.862;-0.333718;-1
0.0106924;0.46;0.0;5759.16;0.0634766;1.12163;-0.00274983;0.345299;200.0;7.33594;3.66467;14.8246;13.8628;-0.33374;-1
0.0107086;0.48;0.0;5759.17;0.0698242;1.2147;-0.00252876;0.345282;200.0;7.3363;3.66431;14.8254;13.8615;-0.333785;-1
0.010681;0.502;0.0;5759.18;0.0766602;1.24564;-0.00195172;0.345266;200.0;7.33655;3.66406;14.825;13.8617;-0.333829;-1
0.0106972;0.522;0.0;5759.18;0.0834961;1.087;-0.00128781;0.345255;200.0;7.33667;3.66394;14.826;13.8601;-0.333873;-1
0.01067;0.542;0.0;5759.19;0.0893555;1.24383;-7.90017E-4;0.345247;200.0;7.33691;3.6637;14.8256;13.8607;-0.333918;-1
0.0106867;0.562;0.0;5759.2;0.0961914;1.08515;-1.97847E-4;0.345242;200.0;7.33716;3.66345;14.8264;13.8594;-0.33394;-1
0.0106595;0.582;0.0;5759.2;0.102539;1.24195;1.92813E-4;0.34524;200.0;7.3374;3.66333;14.8261;13.86;-0.333984;-1
0.0106767;0.602;0.0;5759.21;0.109375;1.08316;5.94096E-4;0.34524;200.0;7.33752;3.66309;14.8268;13.8589;-0.334029;-1
0.01065;0.622;0.0;5759.21;0.115234;1.24007;7.22973E-4;0.345243;200.0;7.33789;3.66272;14.8266;13.8588;-0.334073;-1
0.0106671;0.642;0.0;5759.22;0.12207;1.08138;8.80969E-4;0.345245;200.0;7.33789;3.66272;14.8274;13.8576;-0.334095;-1
0.0106404;0.662;0.0;5759.23;0.12793;1.23834;8.63974E-4;0.345248;200.0;7.33813;3.66248;14.8272;13.8579;-0.33414;-1
0.0106581;0.682;0.0;5759.23;0.134277;1.07956;9.19002E-4;0.34525;200.0;7.3385;3.66211;14.8279;13.8564;-0.334184;-1
0.0106309;0.702;0.0;5759.24;0.141113;1.23654;7.47608E-4;0.345253;200.0;7.33862;3.66199;14.8275;13.8577;-0.334206;0
0.0106486;0.722;0.0;5759.25;0.146973;1.07781;6.85939E-4;0.345255;200.0;7.33875;3.66187;14.8284;13.8553;-0.334251;0
0.01063;0.742;0.0;5759.25;0.154785;1.51912;0.00117251;0.345257;200.0;7.33911;3.6615;14.8288;13.8557;-0.334295;0
0.0105689;0.762;0.0;5759.26;0.163574;1.79954;0.00263943;0.345264;200.0;7.33936;3.66125;14.8276;13.8573;-0.334362;0
0.0104921;0.782;0.0;5759.27;0.175293;2.21327;0.00425501;0.34528;200.0;7.33972;3.66089;14.8264;13.8596;-0.334428;0
0.0105122;0.802;0.0;5759.29;0.187988;2.48892;0.00562287;0.345304;200.0;7.34033;3.66028;14.8274;13.8571;-0.334517;0
0.0104573;0.822;0.0;5759.3;0.203125;2.89959;0.00624138;0.345332;200.0;7.3407;3.65991;14.8271;13.8581;-0.334606;0
0.0104583;0.842;0.0;5759.32;0.220215;3.17514;0.00617601;0.345361;200.0;7.34119;3.65942;14.8279;13.8563;-0.334695;0
0.0104268;0.862;0.0;5759.34;0.23877;3.58422;0.00550121;0.345387;200.0;7.3418;3.65869;14.8282;13.8568;-0.334806;0
0.0104302;0.882;0.0;5759.36;0.259277;3.86247;0.00445137;0.345407;200.0;7.34265;3.65808;14.8297;13.8529;-0.334939;0
0.0103939;0.902;0.0;5759.38;0.282227;4.27027;0.00312834;0.34542;200.0;7.34338;3.65723;14.8304;13.8526;-0.335094;0
0.0103954;0.922;0.0;5759.41;0.307129;4.5503;0.00192395;0.345425;200.0;7.34424;3.65649;14.8318;13.8495;-0.335227;0
0.0103577;0.942;0.0;5759.43;0.333984;4.95859;9.49176E-4;0.345423;200.0;7.34448;3.65601;14.8315;13.851;-0.335294;0
0.0103572;0.962;0.0;5759.46;0.361816;5.23904;4.54063E-4;0.345417;200.0;7.34424;3.65625;14.8311;13.8514;-0.335249;0
0.0103172;0.982;0.0;5759.49;0.39209;5.6461;2.02147E-4;0.345408;200.0;7.34399;3.65662;14.8294;13.8554;-0.335205;0
0.01029;1.004;0.0;5759.53;0.427734;5.95901;2.94229E-4;0.345398;200.0;7.34387;3.65662;14.828;13.8572;-0.335183;0
0.0102881;1.024;0.0;5759.56;0.461914;6.37154;5.06624E-4;0.345389;200.0;7.34387;3.65674;14.8281;13.8571;-0.335183;0
0.0102404;1.044;0.0;5759.6;0.498535;6.64772;8.26595E-4;0.34538;200.0;7.34387;3.65674;14.8266;13.8609;-0.335183;0
0.0102351;1.064;0.0;5759.64;0.536621;7.05975;0.00117663;0.345372;200.0;7.34387;3.65674;14.826;13.8613;-0.335183;0
0.0101851;1.084;0.0;5759.68;0.57666;7.33666;0.00156318;0.345366;200.0;7.34399;3.65649;14.8248;13.8641;-0.335205;0
0.0101765;1.104;0.0;5759.72;0.619141;7.74954;0.0019046;0.345361;200.0;7.34424;3.65649;14.8243;13.8643;-0.335227;0
0.010124;1.124;0.0;5759.76;0.663086;8.03422;0.00219698;0.345357;200.0;7.34448;3.65625;14.8233;13.8662;-0.335272;0
0.0101126;1.144;0.0;5759.81;0.708984;8.45764;0.00248844;0.345355;200.0;7.34473;3.65588;14.8233;13.8665;-0.335338;0
0.0100578;1.164;0.0;5759.86;0.756348;8.75197;0.00277428;0.345353;200.0;7.34497;3.65564;14.8224;13.869;-0.335383;0
0.0100425;1.184;0.0;5759.91;0.806641;9.18218;0.00294365;0.345352;200.0;7.34546;3.65503;14.8225;13.8685;-0.335471;0
0.00997669;1.204;0.0;5759.96;0.858887;9.50393;0.00314564;0.34535;200.0;7.34595;3.65466;14.8216;13.8703;-0.33556;0
0.00997955;1.224;0.0;5760.01;0.913086;9.8445;0.00324662;0.345349;200.0;7.34631;3.65405;14.8223;13.8691;-0.335649;0
0.00993806;1.244;0.0;5760.07;0.969238;10.2378;0.00327662;0.345349;200.0;7.34717;3.65332;14.8223;13.8683;-0.335782;0
0.00991279;1.264;0.0;5760.13;1.02686;10.6643;0.00329619;0.345348;200.0;7.34778;3.65271;14.8227;13.8685;-0.335893;0
0.00984651;1.284;0.0;5760.19;1.0874;11.0331;0.00334724;0.345346;200.0;7.34851;3.65198;14.8218;13.8689;-0.336048;0
0.00982458;1.304;0.0;5760.25;1.1499;11.3743;0.00341158;0.345343;200.0;7.34949;3.65112;14.8224;13.8682;-0.336182;0
0.00975401;1.324;0.0;5760.31;1.21436;11.7282;0.00349105;0.34534;200.0;7.35022;3.65015;14.8226;13.8692;-0.336359;0
0.00973255;1.344;0.0;5760.38;1.28027;12.1344;0.00362649;0.345336;200.0;7.35132;3.64917;14.8239;13.8674;-0.336537;0
0.00969202;1.364;0.0;5760.45;1.34912;12.5661;0.00365422;0.345333;200.0;7.35229;3.64819;14.8241;13.8665;-0.336714;0
0.00965196;1.384;0.0;5760.52;1.4209;12.9766;0.00368329;0.34533;200.0;7.35327;3.64709;14.8249;13.8656;-0.336914;-1
0.00959331;1.404;0.0;5760.59;1.49365;13.3549;0.0037592;0.345326;200.0;7.35449;3.646;14.8251;13.8649;-0.337136;-1
0.00955564;1.424;0.0;5760.67;1.56787;13.3305;0.00316178;0.34532;200.0;7.35571;3.64478;14.8259;13.8633;-0.337336;-1
0.00949747;1.444;0.0;5760.74;1.6416;13.3212;0.00158195;0.345307;200.0;7.35693;3.64368;14.8264;13.8625;-0.337558;-1
0.00947029;1.464;0.0;5760.81;1.71582;13.3529;7.12588E-5;0.345285;200.0;7.35816;3.64246;14.8277;13.8605;-0.33778;-1
0.00942356;1.484;0.0;5760.89;1.79004;13.3897;-7.82804E-4;0.345258;200.0;7.35938;3.64101;14.8286;13.8581;-0.338002;-1
0.00936348;1.504;0.0;5760.96;1.86426;13.3568;-8.42203E-4;0.345228;200.0;7.36035;3.64001;14.8289;13.8581;-0.338201;0
0.00930721;1.524;0.0;5761.04;1.93799;13.2556;-3.03018E-4;0.3452;200.0;7.36169;3.63892;14.8296;13.8573;-0.338423;0
0.00929052;1.544;0.0;5761.11;2.0127;13.632;0.00119728;0.345177;200.0;7.36292;3.63757;14.8312;13.8539;-0.338645;0
0.00925428;1.564;0.0;5761.19;2.08984;14.0433;0.00369704;0.345165;200.0;7.36414;3.63623;14.8325;13.8518;-0.338889;0
0.00920087;1.584;0.0;5761.27;2.16943;14.4824;0.00647619;0.345168;200.0;7.36487;3.63562;14.8319;13.8535;-0.339;0
0.00914413;1.604;0.0;5761.35;2.25098;14.9103;0.00882927;0.345185;200.0;7.36499;3.63538;14.8306;13.8555;-0.339045;0
0.00909549;1.624;0.0;5761.43;2.33545;15.315;0.0103497;0.345211;200.0;7.36523;3.63513;14.8292;13.8587;-0.339089;0
0.00901062;1.644;0.0;5761.52;2.42139;15.7024;0.0109536;0.345242;200.0;7.3656;3.63489;14.8277;13.8626;-0.339156;0
0.00897152;1.664;0.0;5761.61;2.50977;16.0838;0.0106899;0.345273;200.0;7.36609;3.63452;14.827;13.864;-0.339222;0
0.00889427;1.684;0.0;5761.7;2.60059;16.4837;0.00972095;0.345299;200.0;7.36646;3.63391;14.8251;13.8681;-0.339311;0
0.00883657;1.704;0.0;5761.79;2.69434;16.9099;0.00837467;0.345318;200.0;7.36707;3.63342;14.8242;13.8702;-0.3394;0
0.00877411;1.724;0.0;5761.89;2.78955;17.3622;0.00687154;0.345328;200.0;7.36755;3.63281;14.823;13.8723;-0.339511;0
0.00870878;1.744;0.0;5761.99;2.8877;17.8222;0.00554475;0.345329;200.0;7.36816;3.6322;14.8223;13.8747;-0.339622;0
0.00863392;1.764;0.0;5762.09;2.98828;18.2748;0.00461898;0.345324;200.0;7.3689;3.63147;14.8209;13.8773;-0.339755;0
0.00857288;1.784;0.0;5762.19;3.09082;18.7206;0.0040993;0.345314;200.0;7.36975;3.63074;14.8203;13.8785;-0.33991;0
